date,name,value
2012-9-30,Cuda,81
2012-9-30,AppleScript,79
2012-9-30,Augeas,79
2012-9-30,Delphi,78
2012-9-30,Batchfile,74
2012-9-30,FORTRAN,74
2012-9-30,Ragel in Ruby Host,67
2012-9-30,Component Pascal,62
2012-12-30,JavaScript,131938
2012-12-30,Python,117851
2012-12-30,Ruby,101769
2012-12-30,Java,90287
2012-12-30,PHP,84267
2012-12-30,C,62699
2012-12-30,C++,57530
2012-12-30,Shell,18597
2012-12-30,C#,14841
2012-12-30,HTML,13966
2012-12-30,Objective-C,13732
2012-12-30,Haskell,10015
2012-12-30,CSS,9924
2012-12-30,Scala,8613
2012-12-30,Go,8049
2012-12-30,CoffeeScript,7697
2012-12-30,Perl,7518
2012-12-30,Erlang,4303
2012-12-30,Lua,3767
2012-12-30,Emacs Lisp,3192
2012-12-30,Clojure,3119
2012-12-30,Groovy,2988
2012-12-30,TypeScript,2310
2012-12-30,OCaml,1838
2012-12-30,Common Lisp,1511
2012-12-30,Puppet,1385
2012-12-30,Vim script,1368
2012-12-30,ColdFusion,1107
2012-12-30,VimL,1050
2012-12-30,D,1017
2012-12-30,BitBake,1001
2012-12-30,TeX,935
2012-12-30,PLpgSQL,926
2012-12-30,XSLT,844
2012-12-30,nesC,834
2012-12-30,Roff,817
2012-12-30,Vim Script,808
2012-12-30,ActionScript,802
2012-12-30,Matlab,755
2012-12-30,Rust,714
2012-12-30,F#,674
2012-12-30,Makefile,673
2012-12-30,Kotlin,657
2012-12-30,Nix,643
2012-12-30,R,609
2012-12-30,Elixir,585
2012-12-30,Dart,573
2012-12-30,Haxe,561
2012-12-30,Vala,546
2012-12-30,Scheme,515
2012-12-30,Standard ML,510
2012-12-30,JetBrains MPS,489
2012-12-30,Prolog,465
2012-12-30,Smalltalk,455
2012-12-30,Raku,425
2012-12-30,Julia,420
2012-12-30,Fortran,397
2012-12-30,Factor,391
2012-12-30,Assembly,367
2012-12-30,Swift,365
2012-12-30,Jupyter Notebook,354
2012-12-30,Racket,300
2012-12-30,Agda,294
2012-12-30,Delphi,269
2012-12-30,Objective-J,258
2012-12-30,CMake,252
2012-12-30,Arduino,245
2012-12-30,SCSS,240
2012-12-30,MATLAB,232
2012-12-30,BlitzBasic,217
2012-12-30,Objective-C++,211
2012-12-30,PowerShell,208
2012-12-30,Tcl,196
2012-12-30,AutoHotkey,141
2012-12-30,Apex,139
2012-12-30,Batchfile,136
2012-12-30,Monkey,136
2012-12-30,XML,131
2012-12-30,Perl 6,131
2012-12-30,Processing,126
2012-12-30,Verilog,125
2012-12-30,Pascal,114
2012-12-30,NewLisp,113
2012-12-30,OpenEdge ABL,108
2012-12-30,LiveScript,105
2012-12-30,Web Ontology Language,103
2012-12-30,VHDL,98
2012-12-30,FORTRAN,95
2012-12-30,PostScript,89
2012-12-30,Visual Basic,88
2012-12-30,Mathematica,87
2012-12-30,Logos,82
2012-12-30,Augeas,78
2012-12-30,QML,76
2012-12-30,AutoIt,74
2012-12-30,TSQL,67
2012-12-30,Perl6,66
2012-12-30,Common Workflow Language,62
2012-12-30,Groff,61
2012-12-30,Modelica,60
2013-3-30,JavaScript,185685
2013-3-30,Python,154419
2013-3-30,Ruby,139455
2013-3-30,Java,122450
2013-3-30,PHP,111851
2013-3-30,C,76197
2013-3-30,C++,73506
2013-3-30,C#,22546
2013-3-30,Shell,22369
2013-3-30,HTML,18753
2013-3-30,Objective-C,18561
2013-3-30,CSS,17111
2013-3-30,Scala,11931
2013-3-30,Haskell,11928
2013-3-30,CoffeeScript,10570
2013-3-30,Go,10127
2013-3-30,Perl,9457
2013-3-30,Lua,4812
2013-3-30,Emacs Lisp,4636
2013-3-30,Erlang,4355
2013-3-30,Groovy,4276
2013-3-30,TypeScript,4276
2013-3-30,Clojure,3516
2013-3-30,OCaml,2401
2013-3-30,Vim script,2069
2013-3-30,XSLT,2060
2013-3-30,TeX,1685
2013-3-30,Common Lisp,1499
2013-3-30,ActionScript,1419
2013-3-30,Vim Script,1331
2013-3-30,VimL,1305
2013-3-30,Puppet,1174
2013-3-30,Rust,1120
2013-3-30,Nix,1075
2013-3-30,Roff,1072
2013-3-30,Vala,1023
2013-3-30,Factor,995
2013-3-30,R,968
2013-3-30,Matlab,950
2013-3-30,Makefile,924
2013-3-30,Dart,907
2013-3-30,Kotlin,906
2013-3-30,Objective-J,890
2013-3-30,D,858
2013-3-30,Scheme,782
2013-3-30,PLpgSQL,765
2013-3-30,nesC,745
2013-3-30,Julia,720
2013-3-30,BitBake,701
2013-3-30,ColdFusion,688
2013-3-30,Haxe,642
2013-3-30,Assembly,640
2013-3-30,Jupyter Notebook,632
2013-3-30,JetBrains MPS,625
2013-3-30,PowerShell,601
2013-3-30,Prolog,599
2013-3-30,Standard ML,576
2013-3-30,Smalltalk,547
2013-3-30,CMake,459
2013-3-30,Elixir,455
2013-3-30,Swift,454
2013-3-30,F#,435
2013-3-30,Raku,424
2013-3-30,Pascal,387
2013-3-30,Visual Basic,385
2013-3-30,Tcl,379
2013-3-30,Arduino,376
2013-3-30,SCSS,366
2013-3-30,BlitzBasic,331
2013-3-30,Fortran,326
2013-3-30,MATLAB,323
2013-3-30,VHDL,272
2013-3-30,Ada,214
2013-3-30,AGS Script,205
2013-3-30,NewLisp,198
2013-3-30,AutoHotkey,197
2013-3-30,SQF,196
2013-3-30,QML,190
2013-3-30,FORTRAN,188
2013-3-30,LiveScript,184
2013-3-30,SourcePawn,184
2013-3-30,Processing,174
2013-3-30,TSQL,173
2013-3-30,Racket,172
2013-3-30,PostScript,164
2013-3-30,AppleScript,162
2013-3-30,Logos,162
2013-3-30,Monkey,154
2013-3-30,AutoIt,144
2013-3-30,Delphi,140
2013-3-30,ApacheConf,139
2013-3-30,Perl 6,133
2013-3-30,Groff,124
2013-3-30,Mercury,123
2013-3-30,Web Ontology Language,123
2013-3-30,Verilog,121
2013-3-30,UnrealScript,119
2013-3-30,Agda,114
2013-3-30,Ceylon,114
2013-3-30,Inno Setup,111
2013-6-30,JavaScript,208141
2013-6-30,Python,178473
2013-6-30,Ruby,142656
2013-6-30,Java,135344
2013-6-30,PHP,123330
2013-6-30,C,86960
2013-6-30,C++,86287
2013-6-30,C#,26426
2013-6-30,Shell,25524
2013-6-30,HTML,24753
2013-6-30,CSS,23992
2013-6-30,Objective-C,21473
2013-6-30,Go,16226
2013-6-30,Scala,12855
2013-6-30,CoffeeScript,12721
