value,name,icon,date
10,Chile,chile.svg.png,1958-07-01
20,Chile,chile.svg.png,1962-07-01
22,Chile,chile.svg.png,1966-07-01
22,Chile,chile.svg.png,1970-07-01
23,Chile,chile.svg.png,1974-07-01
23,Chile,chile.svg.png,1978-07-01
26,Chile,chile.svg.png,1982-07-01
26,Chile,chile.svg.png,1986-07-01
26,Chile,chile.svg.png,1990-07-01
26,Chile,chile.svg.png,1994-07-01
31,Chile,chile.svg.png,1998-07-01
31,Chile,chile.svg.png,2002-07-01
31,Chile,chile.svg.png,2006-07-01
34,Chile,chile.svg.png,2010-07-01
40,Chile,chile.svg.png,2014-07-01
40,Chile,chile.svg.png,2018-07-01
0,China PR,china_pr.svg.png,1930-07-01
0,China PR,china_pr.svg.png,1934-07-01
0,China PR,china_pr.svg.png,1938-07-01
0,China PR,china_pr.svg.png,1950-07-01
0,China PR,china_pr.svg.png,1954-07-01
0,China PR,china_pr.svg.png,1958-07-01
0,China PR,china_pr.svg.png,1962-07-01
0,China PR,china_pr.svg.png,1966-07-01
0,China PR,china_pr.svg.png,1970-07-01
0,China PR,china_pr.svg.png,1974-07-01
0,China PR,china_pr.svg.png,1978-07-01
0,China PR,china_pr.svg.png,1982-07-01
0,China PR,china_pr.svg.png,1986-07-01
0,China PR,china_pr.svg.png,1990-07-01
0,China PR,china_pr.svg.png,1994-07-01
0,China PR,china_pr.svg.png,1998-07-01
0,China PR,china_pr.svg.png,2002-07-01
0,China PR,china_pr.svg.png,2006-07-01
0,China PR,china_pr.svg.png,2010-07-01
0,China PR,china_pr.svg.png,2014-07-01
0,China PR,china_pr.svg.png,2018-07-01
0,Colombia,colombia.svg.png,1930-07-01
0,Colombia,colombia.svg.png,1934-07-01
0,Colombia,colombia.svg.png,1938-07-01
0,Colombia,colombia.svg.png,1950-07-01
0,Colombia,colombia.svg.png,1954-07-01
0,Colombia,colombia.svg.png,1958-07-01
5,Colombia,colombia.svg.png,1962-07-01
5,Colombia,colombia.svg.png,1966-07-01
5,Colombia,colombia.svg.png,1970-07-01
5,Colombia,colombia.svg.png,1974-07-01
5,Colombia,colombia.svg.png,1978-07-01
5,Colombia,colombia.svg.png,1982-07-01
5,Colombia,colombia.svg.png,1986-07-01
9,Colombia,colombia.svg.png,1990-07-01
13,Colombia,colombia.svg.png,1994-07-01
14,Colombia,colombia.svg.png,1998-07-01
14,Colombia,colombia.svg.png,2002-07-01
14,Colombia,colombia.svg.png,2006-07-01
14,Colombia,colombia.svg.png,2010-07-01
26,Colombia,colombia.svg.png,2014-07-01
32,Colombia,colombia.svg.png,2018-07-01
0,Costa Rica,costa_rica.svg.png,1930-07-01
0,Costa Rica,costa_rica.svg.png,1934-07-01
0,Costa Rica,costa_rica.svg.png,1938-07-01
0,Costa Rica,costa_rica.svg.png,1950-07-01
0,Costa Rica,costa_rica.svg.png,1954-07-01
0,Costa Rica,costa_rica.svg.png,1958-07-01
0,Costa Rica,costa_rica.svg.png,1962-07-01
0,Costa Rica,costa_rica.svg.png,1966-07-01
0,Costa Rica,costa_rica.svg.png,1970-07-01
0,Costa Rica,costa_rica.svg.png,1974-07-01
0,Costa Rica,costa_rica.svg.png,1978-07-01
0,Costa Rica,costa_rica.svg.png,1982-07-01
0,Costa Rica,costa_rica.svg.png,1986-07-01
4,Costa Rica,costa_rica.svg.png,1990-07-01
4,Costa Rica,costa_rica.svg.png,1994-07-01
4,Costa Rica,costa_rica.svg.png,1998-07-01
9,Costa Rica,costa_rica.svg.png,2002-07-01
12,Costa Rica,costa_rica.svg.png,2006-07-01
12,Costa Rica,costa_rica.svg.png,2010-07-01
17,Costa Rica,costa_rica.svg.png,2014-07-01
19,Costa Rica,costa_rica.svg.png,2018-07-01
0,Croatia,croatia.svg.png,1930-07-01
0,Croatia,croatia.svg.png,1934-07-01
0,Croatia,croatia.svg.png,1938-07-01
0,Croatia,croatia.svg.png,1950-07-01
0,Croatia,croatia.svg.png,1954-07-01
0,Croatia,croatia.svg.png,1958-07-01
0,Croatia,croatia.svg.png,1962-07-01
0,Croatia,croatia.svg.png,1966-07-01
0,Croatia,croatia.svg.png,1970-07-01
0,Croatia,croatia.svg.png,1974-07-01
0,Croatia,croatia.svg.png,1978-07-01
0,Croatia,croatia.svg.png,1982-07-01
0,Croatia,croatia.svg.png,1986-07-01
0,Croatia,croatia.svg.png,1990-07-01
0,Croatia,croatia.svg.png,1994-07-01
11,Croatia,croatia.svg.png,1998-07-01
13,Croatia,croatia.svg.png,2002-07-01
15,Croatia,croatia.svg.png,2006-07-01
15,Croatia,croatia.svg.png,2010-07-01
21,Croatia,croatia.svg.png,2014-07-01
35,Croatia,croatia.svg.png,2018-07-01
0,Cuba,cuba.svg.png,1930-07-01
0,Cuba,cuba.svg.png,1934-07-01
5,Cuba,cuba.svg.png,1938-07-01
5,Cuba,cuba.svg.png,1950-07-01
5,Cuba,cuba.svg.png,1954-07-01
5,Cuba,cuba.svg.png,1958-07-01
5,Cuba,cuba.svg.png,1962-07-01
5,Cuba,cuba.svg.png,1966-07-01
5,Cuba,cuba.svg.png,1970-07-01
5,Cuba,cuba.svg.png,1974-07-01
5,Cuba,cuba.svg.png,1978-07-01
5,Cuba,cuba.svg.png,1982-07-01
5,Cuba,cuba.svg.png,1986-07-01
5,Cuba,cuba.svg.png,1990-07-01
5,Cuba,cuba.svg.png,1994-07-01
5,Cuba,cuba.svg.png,1998-07-01
5,Cuba,cuba.svg.png,2002-07-01
5,Cuba,cuba.svg.png,2006-07-01
5,Cuba,cuba.svg.png,2010-07-01
5,Cuba,cuba.svg.png,2014-07-01
5,Cuba,cuba.svg.png,2018-07-01
0,Czech Republic,czech_republic.svg.png,1930-07-01
0,Czech Republic,czech_republic.svg.png,1934-07-01
0,Czech Republic,czech_republic.svg.png,1938-07-01
0,Czech Republic,czech_republic.svg.png,1950-07-01
0,Czech Republic,czech_republic.svg.png,1954-07-01
0,Czech Republic,czech_republic.svg.png,1958-07-01
0,Czech Republic,czech_republic.svg.png,1962-07-01
0,Czech Republic,czech_republic.svg.png,1966-07-01
0,Czech Republic,czech_republic.svg.png,1970-07-01
0,Czech Republic,czech_republic.svg.png,1974-07-01
0,Czech Republic,czech_republic.svg.png,1978-07-01
0,Czech Republic,czech_republic.svg.png,1982-07-01
0,Czech Republic,czech_republic.svg.png,1986-07-01
0,Czech Republic,czech_republic.svg.png,1990-07-01
0,Czech Republic,czech_republic.svg.png,1994-07-01
0,Czech Republic,czech_republic.svg.png,1998-07-01
0,Czech Republic,czech_republic.svg.png,2002-07-01
3,Czech Republic,czech_republic.svg.png,2006-07-01
3,Czech Republic,czech_republic.svg.png,2010-07-01
3,Czech Republic,czech_republic.svg.png,2014-07-01
3,Czech Republic,czech_republic.svg.png,2018-07-01
0,Czechoslovakia,czechoslovakia.svg.png,1930-07-01
9,Czechoslovakia,czechoslovakia.svg.png,1934-07-01
14,Czechoslovakia,czechoslovakia.svg.png,1938-07-01
14,Czechoslovakia,czechoslovakia.svg.png,1950-07-01
14,Czechoslovakia,czechoslovakia.svg.png,1954-07-01
23,Czechoslovakia,czechoslovakia.svg.png,1958-07-01
30,Czechoslovakia,czechoslovakia.svg.png,1962-07-01
30,Czechoslovakia,czechoslovakia.svg.png,1966-07-01
32,Czechoslovakia,czechoslovakia.svg.png,1970-07-01
32,Czechoslovakia,czechoslovakia.svg.png,1974-07-01
32,Czechoslovakia,czechoslovakia.svg.png,1978-07-01
34,Czechoslovakia,czechoslovakia.svg.png,1982-07-01
34,Czechoslovakia,czechoslovakia.svg.png,1986-07-01
44,Czechoslovakia,czechoslovakia.svg.png,1990-07-01
44,Czechoslovakia,czechoslovakia.svg.png,1994-07-01
44,Czechoslovakia,czechoslovakia.svg.png,1998-07-01
